person,name,year
https://data.muziekschatten.nl/som/00017a91ca215c50af3cc6b6ccd1c9f2,FRIEDRICH SCHMOLL,1701
https://data.muziekschatten.nl/som/00017a91ca215c50af3cc6b6ccd1c9f2,FRIEDRICH SCHMOLL,17..
https://data.muziekschatten.nl/som/00020fbef0537a243b94c0257a7dd380,DORCAS NORRE,1911
https://data.muziekschatten.nl/som/0003d1f9e4e9c69335f00f00bd0ced84,ELIHU CARPENTER,1752
https://data.muziekschatten.nl/som/0004066c4c3790b81f7e1c8ae383219d,BONNY RICE,1933
https://data.muziekschatten.nl/som/0006e5a4e80012c9c3f7f4f5bec0c71c,JUNYU KITAYAMA,1902
https://data.muziekschatten.nl/som/00094c252e9303404f88f65f4518e119,JOS. CARPAY,191
https://data.muziekschatten.nl/som/000964ac8241c643208be6753a61c815,PAUL ZILCHER,1855
https://data.muziekschatten.nl/som/000d10d7d2357964e1a603ebf1f880c8,IGOR DEKLEVA,1933
https://data.muziekschatten.nl/som/000e161de802ca523bb8a3fe03b382a5,TOMAS TRANSTROMER,1931
https://data.muziekschatten.nl/som/0016a5038caa04eec12bc8079097220a,CINDY LEE BERRYHILL,1965
https://data.muziekschatten.nl/som/00192bfc9eb9a5280ded4791dca16000,LA PAT,1963
https://data.muziekschatten.nl/som/001a63bc2e61b80a8ae4f8a64162af37,JOÃO CORDEIRO DA SILVA,1735
https://data.muziekschatten.nl/som/001b888638c35e1ed8711957629539a8,CHARLES WOLCOTT,1906
https://data.muziekschatten.nl/som/001c2edefa5abd63c53065986e27da00,WILLY HAUTVAST,1932
https://data.muziekschatten.nl/som/0023f39f39a40b6c77242a841143f630,HERBERT LAUERMANN,1955
https://data.muziekschatten.nl/som/002506fd5f8e40f1022e28170e8507d3,ALBERT MARKOV,1933
https://data.muziekschatten.nl/som/00290cd0e0e3006c5184fb69770091dc,GOVERT DORRENBOOM,1850
https://data.muziekschatten.nl/som/002b7f931a9dd7a8341f349c710015ee,NOEL GAY,1898
https://data.muziekschatten.nl/som/002deefb36812173702e2d3c78a3d4d9,PIET J. GROENENDIJK,1948
https://data.muziekschatten.nl/som/002fb62b88d038ec6ef3bf5a4d500f48,GUY DESTANQUE,1920
https://data.muziekschatten.nl/som/0030fad8a4000dae36dec86ed691510d,JOHANN PHILIP ALBRECHT FISCHER,1690
https://data.muziekschatten.nl/som/00314d203c5e3bdfd77ef25d8985f014,ROGER TESSIER,1939
https://data.muziekschatten.nl/som/003211feb8df952a72bfd5bcb7b6c0fb,HAN VAN KOERT,1913
https://data.muziekschatten.nl/som/0032b300dee753e65225b2aafb9f1c99,MAX NIEMATZ,1942
https://data.muziekschatten.nl/som/0036f1a7abb7b6918364ba18911dfb22,JAN BOSVELD,1963
https://data.muziekschatten.nl/som/003852003b67ecab385229242c60144a,CHRISTIAN REICHARDT,1685
https://data.muziekschatten.nl/som/003b6b7f2f9520bca4b1bdefe841d0ea,DANIELE DI BONAVENTURA,1966
https://data.muziekschatten.nl/som/003c22dc736569a0e9f59610f13690d5,JOHN MELBY,1941
https://data.muziekschatten.nl/som/004165f172d90fc0083bc1948d0a9a36,AVERY ROBINSON,1878
https://data.muziekschatten.nl/som/004165f172d90fc0083bc1948d0a9a36,AVERY ROBINSON,1877
https://data.muziekschatten.nl/som/0046650c748a3d1451064ab359abfe34,JANIS ZIEMELNIEKS,1897
https://data.muziekschatten.nl/som/004699a182e49e4605df6e3a216f96ed,NIKOLAJEV,1878
https://data.muziekschatten.nl/som/004699a182e49e4605df6e3a216f96ed,NIKOLAYEV,1878
https://data.muziekschatten.nl/som/004699a182e49e4605df6e3a216f96ed,LEONID NIKOLAEV,1878
https://data.muziekschatten.nl/som/00476cd3221c6675027744d8967c02db,SILVA,1861
https://data.muziekschatten.nl/som/00476cd3221c6675027744d8967c02db,JOSÉ LÓPEZ SILVA,1861
https://data.muziekschatten.nl/som/0057ecacece8af521591bd82f41554f2,CLARENCE MADER,1904
https://data.muziekschatten.nl/som/0058e02a96ca515b0c3d66940f5ea208,THEODORE STERN,1948
https://data.muziekschatten.nl/som/0061371592e0a59215d816174bbc5ef7,MARSHALL BARTHOLOMEW,1885
https://data.muziekschatten.nl/som/00654437ce8021e9cc60055b62ffe272,OLIVIER BERNARD,1940
https://data.muziekschatten.nl/som/00664993d9d7d1d0e85f46bb1ba8a7b2,PASQUALE MILILOTTI,1725
https://data.muziekschatten.nl/som/006a0701da0e4ff81d354200621a06d2,GUSTAVE ROUD,1897
https://data.muziekschatten.nl/som/006babd8476babc9db471213be01221a,MACLEAN,1712
https://data.muziekschatten.nl/som/006babd8476babc9db471213be01221a,CHARLES MCLEAN,1712
https://data.muziekschatten.nl/som/00717abb7dd0ea7ca585313fef085fee,MARTINELLI,1661
https://data.muziekschatten.nl/som/00717abb7dd0ea7ca585313fef085fee,GUILLELMUS CAROLUS DI MARTINELLI,1661
https://data.muziekschatten.nl/som/0072b3bad2991c33c60416e40d20e595,MARK FISHER,1968
https://data.muziekschatten.nl/som/007cc2f50c68621f716b3c85038b01dc,HANS BRANDEL,1919
https://data.muziekschatten.nl/som/0082038b8a6b843f93eaead830675fb0,GUSTAF PAULSON,1898
https://data.muziekschatten.nl/som/008328d95e3936fe9d9d1d1b00b4617a,THOMAS VENATORIUS,1488
https://data.muziekschatten.nl/som/0084a0fd2d8bda0d0df5a728b2c55d1a,RUDOLF MAYER,1902
https://data.muziekschatten.nl/som/0086d31ebe824a6841da78a333d7620f,VLADISLAV ZAREMBA,1833
https://data.muziekschatten.nl/som/0086ec11309e27df84d6dc60eb098bec,CELIUS DOUGHERTY,1902
https://data.muziekschatten.nl/som/0088baa5c35bd6012bd58e3757500fb3,WILLY LANGESTRAAT,1914
https://data.muziekschatten.nl/som/008d6fb2f8b1264442efe2cdf401b99c,REMO LAURICELLA,1912
https://data.muziekschatten.nl/som/008da7a3e1dab65afa11c340e4a72b55,ALFRED PAULSEN,1849
https://data.muziekschatten.nl/som/00921b91998f46e022571a80ef45659d,WESENDONK,1828
https://data.muziekschatten.nl/som/00921b91998f46e022571a80ef45659d,MATHILDE WESENDONCK,1828
https://data.muziekschatten.nl/som/009263a08784501e277d495e08e6fbc5,ANDRÉ BARDE,1874
https://data.muziekschatten.nl/som/00961ff49b78aaec535cf211220ad9ba,HANS LAVATER,1885
https://data.muziekschatten.nl/som/0096403b88cc5aa9beb3c829a01a9758,ROMA CAMPBELL-HUNTER,1900
https://data.muziekschatten.nl/som/009d0d152367e1dbec5d35074b16b235,STEPOVIY,1883
https://data.muziekschatten.nl/som/009d0d152367e1dbec5d35074b16b235,STEPOVOJ,1883
https://data.muziekschatten.nl/som/009d0d152367e1dbec5d35074b16b235,STEPOVYJ,1883
https://data.muziekschatten.nl/som/009d0d152367e1dbec5d35074b16b235,ÂKÌV STEPOVIJ,1883
https://data.muziekschatten.nl/som/009d44b3099603d397b4e94b4c19c11f,GABRIEL RUIZ,1908
https://data.muziekschatten.nl/som/00a70da4f843d8e30f7f81c3b9f42adb,BENGT LUNDIN,1945
https://data.muziekschatten.nl/som/00aa7f773a75d416d8469875c02ec2b5,ANDREJ GENRIH ARENDS,1855
https://data.muziekschatten.nl/som/00ae82ef2872ef2431ebc085d73de395,ERICA JONG,1942
https://data.muziekschatten.nl/som/00b1244a7d9f24b70be7b02172d35f14,JOSEPH BLAHACK,1780
https://data.muziekschatten.nl/som/00b1c80ed37cd5f65b6092ac05cb56c3,JOHANN BAPTIST SCHENK,1753
