person,name,year
https://data.muziekweb.nl/Link/M00000000012,Muhal Richard Abrams,1930
https://data.muziekweb.nl/Link/M00000000019,A. Adam,1803
https://data.muziekweb.nl/Link/M00000000019,Adam,1803
https://data.muziekweb.nl/Link/M00000000019,Adolphe Charles Adam,1803
https://data.muziekweb.nl/Link/M00000000019,Adolphe Adam,1803
https://data.muziekweb.nl/Link/M00000000022,Adams,1947
https://data.muziekweb.nl/Link/M00000000022,John Adams,1947
https://data.muziekweb.nl/Link/M00000000025,John Addison,1920
https://data.muziekweb.nl/Link/M00000000046,Kalevi Aho,1949
https://data.muziekweb.nl/Link/M00000000052,Necil Kâzim Akses,1908
https://data.muziekweb.nl/Link/M00000000056,Domenico Alaleona,1881
https://data.muziekweb.nl/Link/M00000000063,Thomas Albert,1948
https://data.muziekweb.nl/Link/M00000000071,Kurt Albrecht,1895
https://data.muziekweb.nl/Link/M00000000079,Sergei Aleksashkin,1864
https://data.muziekweb.nl/Link/M00000000079,Jevgeny Alenev,1864
https://data.muziekweb.nl/Link/M00000000084,"Alfonso X ""El sabio""",1221
https://data.muziekweb.nl/Link/M00000000084,Alfonso X de Castille,1221
https://data.muziekweb.nl/Link/M00000000084,Alfonso X el Sabio,1221
https://data.muziekweb.nl/Link/M00000000084,Alfonso the Wise,1221
https://data.muziekweb.nl/Link/M00000000084,Rei Afonso X,1221
https://data.muziekweb.nl/Link/M00000000084,Rey Alfonso el Sabio,1221
https://data.muziekweb.nl/Link/M00000000084,Alfonso el Sabio,1221
https://data.muziekweb.nl/Link/M00000000091,Henk Alkema,1944
https://data.muziekweb.nl/Link/M00000000092,Géza Allaga,1841
https://data.muziekweb.nl/Link/M00000000093,Maurice Allard,1923
https://data.muziekweb.nl/Link/M00000000098,Laurindo Almeida,1917
https://data.muziekweb.nl/Link/M00000000112,Javier Alvarez,1956
https://data.muziekweb.nl/Link/M00000000121,Daniele Amfiteatrov,1901
https://data.muziekweb.nl/Link/M00000000133,Barry Anderson,1935
https://data.muziekweb.nl/Link/M00000000136,L. Anderson,1908
https://data.muziekweb.nl/Link/M00000000136,Leroy Anderson,1908
https://data.muziekweb.nl/Link/M00000000139,Maurice André,1933
https://data.muziekweb.nl/Link/M00000000174,Jesús Arámbarri,1902
https://data.muziekweb.nl/Link/M00000000182,Arditi,1822
https://data.muziekweb.nl/Link/M00000000182,L. Arditi,1822
https://data.muziekweb.nl/Link/M00000000182,Luigi Arditi,1822
https://data.muziekweb.nl/Link/M00000000214,Emanuele d' Astorga,1680
https://data.muziekweb.nl/Link/M00000000218,Jacques Aubert,1689
https://data.muziekweb.nl/Link/M00000000219,Louis Aubert,1877
